0:0:0:0:0:0:0:1 - - [18/Nov/2025:13:24:13 +0530] "GET /ORSProject-04/doc/package-search-index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:13:24:13 +0530] "GET /ORSProject-04/doc/tag-search-index.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [18/Nov/2025:13:24:13 +0530] "GET /ORSProject-04/doc/type-search-index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:13:24:13 +0530] "GET /ORSProject-04/doc/member-search-index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:13:24:13 +0530] "GET /ORSProject-04/doc/resources/glass.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:13:24:13 +0530] "GET /ORSProject-04/doc/resources/x.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:13:24:18 +0530] "GET /ORSProject-04/ctl/TimetableListCtl HTTP/1.1" 200 10514
0:0:0:0:0:0:0:1 - - [18/Nov/2025:13:24:19 +0530] "GET /ORSProject-04/doc/resources/fonts/dejavu.css HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [18/Nov/2025:13:24:19 +0530] "GET /ORSProject-04/doc/module-search-index.zip HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [18/Nov/2025:13:24:19 +0530] "GET /ORSProject-04/doc/tag-search-index.zip HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [18/Nov/2025:13:24:19 +0530] "GET /ORSProject-04/doc/module-search-index.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [18/Nov/2025:13:24:19 +0530] "GET /ORSProject-04/doc/tag-search-index.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [18/Nov/2025:13:24:22 +0530] "GET /ORSProject-04/ctl/TimetableListCtl HTTP/1.1" 200 10514
0:0:0:0:0:0:0:1 - - [18/Nov/2025:13:24:33 +0530] "POST /ORSProject-04/ctl/TimetableListCtl HTTP/1.1" 200 8396
0:0:0:0:0:0:0:1 - - [18/Nov/2025:13:24:39 +0530] "GET /ORSProject-04/ctl/FacultyListCtl HTTP/1.1" 200 9338
